2025-05-17 14:01:19.960 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/CASTLE AT SPITZ. SWITZRLND.12-01-07. 001.jpg'
2025-05-17 14:01:19.960 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1464.JPG'
2025-05-17 14:01:19.961 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1469.JPG'
2025-05-17 14:01:19.961 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1476.JPG'
2025-05-17 14:01:19.961 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1495.JPG'
2025-05-17 14:01:19.961 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1496.JPG'
2025-05-17 14:01:19.961 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1497.JPG'
2025-05-17 14:01:19.961 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1499.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1536.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1537.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1541.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1543.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1547.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/DSCF1559.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/E.TVL.S.A.-1981.jpg'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/ENGSTLIGEN FALLS.ADELBODEN.SWITZLND.5-10-07.jpg'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/FALLS NEAR MERINGEN.SWITZ.2007.jpg'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/HEMELSVLUGT SWITZ 23-02-07 004.jpg'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/IMG_0025.JPG'
2025-05-17 14:01:19.964 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/IMG_0029.JPG'
2025-05-17 14:01:19.975 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/IMG_6577.jpg'
2025-05-17 14:01:19.976 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/IMG_6578.jpg'
2025-05-17 14:01:19.977 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/IMG_6579.jpg'
2025-05-17 14:01:19.977 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/IMG_6580.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/LONE CREEK. E.TVL. S.A.2007.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/MAC-MAC FALLS S.A. OCT.2006 002.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/MERINGEN FALLS SWITZ.22-01-07.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/MURREN.SWITZ.2004.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/NEAR ECHO CAVES.OHRIGSTADT.N.TVL.1966.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/NEAR PALMACHIM-1982.jpg'
2025-05-17 14:01:19.978 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/PHOTO-2024-02-11-15-57-07.jpg'
